parking,parking_count
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
4,1
1,1
2,1
4,1
G-16,1
2,1
1,1
1,1
1,1
2,1
B2-47,1
2,1
1,1
2,1
,0
1,1
1,1
G-83,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
DMCC-L1-1158,1
1,1
1,1
1  0,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
"G-110,G-12",2
1,1
1  0,1
4,1
1,1
2,1
B1-48,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
B2-32,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
4,1
G-111,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
G-106,1
1,1
1,1
1,1
1,1
B2-111,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
G-105,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
4,1
3,1
3,1
1,1
1,1
1,1
2,1
EU,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
P1-42,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
P1-09,1
1,1
1,1
1,1
2,1
B2-62,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-106,1
G-107,1
P1-73,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1  0,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
G-82,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
P2-59,1
2,1
1,1
1,1
1,1
G-21,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
2,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
4,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
2,1
1,1
1,1
1,1
2,1
