area_en,project_name_en_count,nearest_landmark_en_count,nearest_metro_en_count,nearest_mall_en_count,master_project_en_count,latitude,longitude
NAD AL SHEBA GARDENS,1,1,1,1,0,25.1659652,55.307881779331815
Nad Al Hamar,0,1,1,1,0,25.22807165351784,55.37735286826692
Nad Al Shiba First,6,1,2,1,0,25.19475815,55.27805910442858
Nad Al Shiba Fourth,0,1,1,2,0,25.2173429,55.4071287
Nad Al Shiba Second,0,2,1,2,0,25.19475815,55.27805910442858
Nad Al Shiba Third,0,1,2,1,0,25.2295959,55.3914898
Nad Shamma,0,1,1,1,0,25.2177763,55.38384350452733
Nadd Hessa,0,0,0,0,0,25.1219309,55.3850506
Naif,0,1,3,1,0,25.2719386,55.3101673
Nazwah,0,0,0,0,0,25.01878065,55.645710625367485
Oud Al Muteena First,0,1,1,1,0,25.2521287,55.365715576690505
Oud Metha,0,2,2,1,0,25.2439301,55.3158939
PALM DEIRA,4,1,2,1,0,25.2761408,55.3016752
PALM JABAL ALI,0,1,0,0,0,24.9876012,55.02200636687711
PALM JUMEIRAH,44,1,6,2,1,25.1180879,55.1342009
PALMAROSA,1,1,0,0,0,25.0423709,55.2416609
PEARL JUMEIRA,1,1,2,1,0,25.244474,55.25895972097338
POLO TOWNHOUSES IGO,1,1,1,1,0,25.19475815,55.27805910442858
Palm Deira,10,0,0,0,0,25.2761408,55.3016752
Palm Jabal Ali,6,0,0,0,0,24.9876012,55.02200636687711
Palm Jumeirah,2,0,0,0,0,25.1180879,55.1342009
Port Saeed,0,1,2,1,0,25.2604609,55.3296278
REMRAAM,2,1,0,0,0,25.0013542,55.24885632771925
RUKAN,2,0,0,0,0,25.0423484,55.28809297477213
Ras Al Khor Industrial First,1,1,1,1,0,25.1797722,55.3345395
Ras Al Khor Industrial Second,0,2,1,2,0,25.19475815,55.27805910442858
Ras Al Khor Industrial Third,0,1,1,1,0,25.2521287,55.365715576690505
Rega Al Buteen,0,1,1,1,0,25.2521287,55.365715576690505
SAMA AL JADAF,0,2,2,1,0,25.2521287,55.365715576690505
SERENA,3,3,0,0,0,25.03538045,55.28590440039767
SILICON OASIS,61,1,0,1,0,25.1137625,55.3721899
SOBHA HEARTLAND,23,1,1,1,0,25.179814800000003,55.3053438493996
SUFOUH GARDENS,8,1,2,1,0,25.1101377,55.1785377
